[2026-05-15 13:57:44,812] DESKTOP-VBNUE4Q/INFO/locust.main: Starting Locust 2.41.6
[2026-05-15 13:57:57,264] DESKTOP-VBNUE4Q/INFO/locust.runners: Discard spawn message with older or equal timestamp than timestamp of previous spawn message
[2026-05-15 13:57:57,508] DESKTOP-VBNUE4Q/INFO/locust.runners: Discard spawn message with older or equal timestamp than timestamp of previous spawn message
[2026-05-15 13:58:18,929] DESKTOP-VBNUE4Q/WARNING/root: CPU usage above 90%! This may constrain your throughput and may even give inconsistent response time measurements! See https://docs.locust.io/en/stable/running-distributed.html for how to distribute the load over multiple CPU cores or machines
[2026-05-15 13:58:19,246] DESKTOP-VBNUE4Q/INFO/locust.runners: Discard spawn message with older or equal timestamp than timestamp of previous spawn message
[2026-05-15 13:58:19,763] DESKTOP-VBNUE4Q/WARNING/locust.runners: CPU usage was too high at some point during the test! See https://docs.locust.io/en/stable/running-distributed.html for how to distribute the load over multiple CPU cores or machines
[2026-05-15 13:58:35,918] DESKTOP-VBNUE4Q/INFO/locust.runners: Resetting stats

[2026-05-15 14:13:15,602] DESKTOP-VBNUE4Q/INFO/locust.runners: Got quit message from master, shutting down...
[2026-05-15 14:13:15,602] DESKTOP-VBNUE4Q/WARNING/locust.runners: CPU usage was too high at some point during the test! See https://docs.locust.io/en/stable/running-distributed.html for how to distribute the load over multiple CPU cores or machines
[2026-05-15 14:13:15,605] DESKTOP-VBNUE4Q/INFO/locust.main: Shutting down (exit code 0)
